row_index,rxn_smiles,error
369090,CC(=O)c1cccc(N)c1.COCCOc1ccc2c(c1)N(C)C(=C1S[CH2+](SC)N(Cc3ccccc3)C1=O)S2.Cc1ccc(S(=O)(=O)[O-])cc1>>COCCOc1ccc2c(c1)N(C)C(=C1SC(=Nc3cccc(C(C)=O)c3)N(Cc3ccccc3)C1=O)S2,SAFEEncodeError('Failed to encode COCCOc1ccc2c(c1)N(C)C(=C1S[CH2+](SC)N(Cc3ccccc3)C1=O)S2 with brics')
372582,CCNc1ccc(NC(=O)COC(C)=O)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)COC(C)=O)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
375009,CCNc1ccc(C(=O)NCCN(C)C)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(C(=O)NCCN(C)C)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
396037,CCO.COc1cc2c(cc1OC)[CH2+](C=Cc1ccc(O)cc1)OC(C)=C2.NN.O.[O-][Cl+3]([O-])([O-])[O-]>>COc1cc2c(cc1OC)C(C=Cc1ccc(O)cc1)=NN=C(C)C2,SAFEEncodeError('Failed to encode COc1cc2c(cc1OC)[CH2+](C=Cc1ccc(O)cc1)OC(C)=C2 with brics')
405934,CC1(C)COC(c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)=N1.CI.C[N+](=O)[O-]>>CN1[CH2+](c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)OCC1(C)C.[I-],SAFEEncodeError('Failed to encode CN1[CH2+](c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)OCC1(C)C with brics')
418971,CCNc1ccc(NC(=O)CN2CCOCC2)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)CN2CCOCC2)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
426870,Br.CC#N.CC(=O)O.CCOCC.COc1cc(C=O)c(C(=O)O)cc1OC.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>COc1cc2c(cc1OC)C([PH2](c1ccccc1)(c1ccccc1)c1ccccc1)OC2=O,SAFEEncodeError('Failed to encode COc1cc2c(cc1OC)C([PH2](c1ccccc1)(c1ccccc1)c1ccccc1)OC2=O with brics')
439723,CCNC(=O)c1ccc(NCC)c([N+](=O)[O-])c1.CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNC(=O)c1ccc(NCC)c(N=C2SC(=C3Sc4ccccc4N3C)C(=O)N2Cc2ccccc2)c1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
440586,CCOc1ccc(C(C)=O)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCOc1ccc(C(C)=O)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
441307,COc1ccc(-c2nc([CH2+](CBr)C(F)(F)CF)[nH]c2-c2ccc(OC)cc2)cc1.FC(Br)C(F)(F)Sc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>FCC(F)(F)Sc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,SAFEEncodeError('Failed to encode COc1ccc(-c2nc([CH2+](CBr)C(F)(F)CF)[nH]c2-c2ccc(OC)cc2)cc1 with brics')
456560,CCNc1ccc(C(=O)OC(C)(C)C)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(C(=O)OC(C)(C)C)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
463681,CCN1C(=O)C(=C2Sc3ccccc3N2C)S[CH2+]1SC.Cc1ccc(S(=O)(=O)[O-])cc1.Nc1ccc2ncccc2c1>>CCN1C(=O)C(=C2Sc3ccccc3N2C)SC1=Nc1ccc2ncccc2c1,SAFEEncodeError('Failed to encode CCN1C(=O)C(=C2Sc3ccccc3N2C)S[CH2+]1SC with brics')
464979,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C.CO.Cl.O.[Na+].[O-][IH2+3](O)(O)(O)(O)O.[OH-]>>CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)O)C3(C)CC(O)C12F,SAFEEncodeError('Failed to encode [O-][IH2+3](O)(O)(O)(O)O with brics')
